Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,Arts Centre Melbourne,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry,474 Flinders St,Hamer Hall - River Side,Cnr Bourke St and Harbour Esplanade,Flinders Walk - Sandridge Bridge,Birrarung Marr - Federation Bridge,Boyd Park,I-Hub 892 Bourke Street,510 Elizabeth St,512 Elizabeth St,514 Elizabeth St,516 Elizabeth St,Batman Park,City Baths,Birrarung Marr – COM Pole 1109,I-Hub Corner of King Street and Latrobe Street,I-Hub 489 Elizabeth Street,I-Hub 526 La Trobe Street,475 Spencer Street,484 Spencer Street,61-67 Power Street Southbank,368 Elizabeth St,Macaulay Rd - Stubbs St Pumping Station,620 Bourke Street (7-Eleven),124 Elizabeth Street,197 Elizabeth St (7-Eleven),RMIT Building 22 - 330 Swanston Street,RMIT Building 51 - 80-92 Victoria Street
01/02/2026,0,0,130,604,635,687,605,0,14,28,16,11,9,na,95,366,69,16,503,936,477,527,102,223,152,0,40,0,90,713,160,undefined,na,na,560,295,154,undefined,7,65,10,9,5,480,776,1,394,0,120,64,66,226,159,42,235,0,214,177,na,70,0,137,411,0,0,366,153,26,17,51,5,97,0,11,4,52,3,349,527,18,12,17,55,154,48,184,3,165,111,2,28,14,0,4,0,0,7,0,221,0,51,107,176,53,5,13,32,445,8,402,375,436,67,0
01/02/2026,1,0,83,467,477,354,381,0,4,27,5,2,2,na,59,145,26,8,301,746,364,368,62,159,112,0,32,0,60,584,71,undefined,na,na,301,241,35,undefined,2,42,8,8,8,355,598,1,284,0,119,11,73,196,113,19,108,0,163,146,na,64,0,103,384,0,0,145,90,18,9,10,10,60,0,3,1,13,9,194,368,4,2,2,27,64,43,66,0,148,51,0,14,6,0,1,0,0,1,0,175,0,21,61,142,17,8,3,25,399,7,380,276,332,40,0
01/02/2026,2,0,74,347,309,137,229,0,0,7,2,4,2,na,43,165,14,4,179,410,193,221,41,99,49,0,30,0,23,408,18,undefined,na,na,109,219,15,undefined,1,26,9,8,6,192,419,1,144,0,62,9,29,87,34,27,57,0,137,107,na,63,0,52,267,0,0,165,40,3,2,6,10,22,0,6,3,15,8,142,221,2,8,6,19,31,20,21,0,90,32,0,9,5,0,0,0,0,0,0,131,0,22,30,79,8,5,5,4,206,1,338,215,157,39,0
01/02/2026,3,0,71,181,203,97,134,0,0,15,4,2,2,na,30,87,13,0,96,235,192,160,23,76,42,0,17,0,22,243,7,undefined,na,na,48,200,6,undefined,2,12,1,1,0,131,235,0,95,0,54,8,11,47,38,12,26,0,64,92,na,53,0,37,166,0,0,87,31,4,3,9,2,24,0,4,0,23,11,105,160,1,1,7,10,46,35,17,1,103,20,0,6,1,0,0,0,0,0,0,74,0,6,43,87,13,7,4,4,197,0,346,139,169,44,0
01/02/2026,4,0,30,125,130,79,96,0,3,7,2,3,3,na,21,38,12,0,85,129,59,119,20,55,19,0,15,0,14,192,1,undefined,na,na,31,40,1,undefined,0,12,2,6,5,85,264,0,67,0,31,8,17,20,15,9,29,0,39,36,na,13,0,26,55,0,0,38,29,0,1,4,5,11,0,0,0,6,7,76,119,0,0,3,11,25,16,7,0,65,7,2,10,0,0,0,0,0,0,0,34,0,6,22,46,8,2,2,13,104,1,200,87,81,14,1
01/02/2026,5,0,24,82,94,75,105,0,0,8,1,1,0,na,16,44,11,1,23,86,22,118,14,80,32,0,8,0,22,143,4,undefined,na,na,33,40,0,undefined,0,9,3,2,0,62,198,0,58,19,39,9,30,11,17,12,78,0,62,29,na,23,0,28,27,0,0,44,20,1,1,2,0,17,0,1,1,5,3,87,118,5,1,2,14,51,13,6,0,70,14,0,7,6,0,0,0,0,0,0,31,0,22,26,74,10,1,6,15,78,2,112,112,78,17,0
01/02/2026,6,0,26,91,139,86,181,0,29,32,7,19,21,na,52,51,33,6,15,48,31,150,46,105,105,0,15,0,50,124,14,undefined,na,na,213,31,4,undefined,5,10,10,4,4,61,221,6,80,45,42,8,10,12,29,26,32,0,84,34,na,29,0,49,33,0,0,51,40,9,5,19,5,25,0,24,3,29,11,81,150,5,2,9,28,71,22,16,8,68,110,7,11,63,11,2,0,0,0,0,104,0,75,29,85,25,10,7,10,100,17,102,88,106,31,3
01/02/2026,7,0,52,133,167,136,214,0,103,63,8,46,61,na,81,87,92,24,14,46,31,244,63,231,267,0,33,0,124,91,17,undefined,na,na,443,37,9,undefined,6,43,14,11,10,121,323,6,128,58,68,11,24,33,41,15,52,0,139,74,na,89,0,26,57,0,0,87,113,67,40,20,2,39,0,31,16,70,64,131,244,28,18,14,36,62,30,53,26,63,292,2,16,60,37,19,0,0,0,0,151,12,98,46,157,40,22,13,20,135,32,114,138,151,21,5
01/02/2026,8,0,81,282,325,283,363,0,145,49,28,106,154,na,135,134,81,38,51,62,54,362,141,365,391,0,113,0,329,78,65,undefined,na,na,804,91,21,undefined,52,67,37,27,23,201,511,18,252,180,139,54,63,72,119,54,104,0,253,176,na,121,0,93,77,0,0,134,211,171,94,116,4,112,0,44,49,181,100,183,362,76,33,54,71,153,36,85,33,70,508,15,38,184,90,39,0,0,0,0,250,92,209,68,245,97,31,32,44,322,29,188,304,224,56,12
01/02/2026,9,0,286,444,704,591,696,0,270,92,37,138,231,na,241,380,129,49,118,108,131,783,248,574,641,0,221,0,351,158,154,undefined,na,na,1135,150,48,undefined,91,110,24,49,42,371,950,25,496,371,314,90,91,100,369,59,252,0,416,312,na,294,0,130,196,0,0,380,444,375,253,175,4,160,0,71,98,265,158,348,783,135,68,133,136,180,75,166,17,177,592,26,41,179,154,34,0,0,0,1,444,181,240,187,495,139,34,63,90,690,57,243,580,546,127,36
01/02/2026,10,0,660,869,1341,1119,1039,0,330,103,62,164,250,na,404,828,276,102,318,282,316,1247,310,816,962,0,357,0,478,327,278,undefined,na,na,1530,179,98,undefined,95,139,50,55,40,689,1836,48,860,577,542,230,174,287,702,94,487,0,610,459,na,353,0,278,333,0,0,828,451,449,405,185,12,234,0,69,107,247,158,613,1247,234,91,154,168,284,124,212,27,192,919,45,85,260,215,69,0,0,0,2,498,177,419,253,826,250,66,66,106,940,109,404,1145,773,235,54
01/02/2026,11,0,1150,1445,2314,1610,1381,0,463,144,53,199,326,na,444,1522,292,173,620,401,579,1624,335,770,1279,0,449,0,750,395,344,undefined,na,na,1997,176,161,undefined,86,214,75,84,52,1080,2482,60,1324,836,946,318,232,570,1050,94,653,0,674,692,na,505,0,351,585,0,0,1522,751,634,551,274,10,393,0,75,168,281,172,849,1624,224,127,219,202,282,106,234,37,297,1057,50,62,198,263,72,0,0,0,0,633,226,495,254,1334,213,74,129,119,1289,123,473,1604,1212,260,54
