Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,Arts Centre Melbourne,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry,474 Flinders St,Hamer Hall - River Side,Cnr Bourke St and Harbour Esplanade,Flinders Walk - Sandridge Bridge,Birrarung Marr - Federation Bridge,Boyd Park,I-Hub 892 Bourke Street,510 Elizabeth St,512 Elizabeth St,514 Elizabeth St,516 Elizabeth St,Batman Park,City Baths,Birrarung Marr – COM Pole 1109,I-Hub Corner of King Street and Latrobe Street,I-Hub 489 Elizabeth Street,I-Hub 526 La Trobe Street,475 Spencer Street,484 Spencer Street,61-67 Power Street Southbank,368 Elizabeth St,Macaulay Rd - Stubbs St Pumping Station,620 Bourke Street (7-Eleven),124 Elizabeth Street,197 Elizabeth St (7-Eleven),RMIT Building 22 - 330 Swanston Street,RMIT Building 51 - 80-92 Victoria Street
01/03/2026,0,0,175,1079,944,815,746,0,18,66,30,43,82,na,133,652,88,11,733,1085,694,560,185,400,302,0,53,0,109,517,246,undefined,na,na,887,443,223,undefined,11,71,37,49,26,683,1029,4,551,0,110,84,90,277,194,75,427,0,383,305,na,136,0,229,554,0,0,652,197,30,17,30,7,126,0,21,6,135,0,461,560,8,6,17,80,196,69,179,2,237,229,12,54,5,0,9,0,0,0,0,476,0,24,181,243,61,16,12,45,604,10,603,491,734,138,0
01/03/2026,1,0,154,680,661,357,403,0,10,16,11,12,21,na,75,379,62,4,506,917,506,333,112,239,161,0,34,0,69,478,87,undefined,na,na,481,332,42,undefined,4,61,15,27,26,509,697,1,344,0,119,22,29,210,140,26,224,0,211,169,na,92,0,113,445,0,0,379,117,25,14,11,13,45,0,11,4,43,0,270,333,9,4,7,57,94,54,104,0,207,74,5,27,2,0,6,0,0,0,0,292,0,17,81,168,39,13,8,37,478,5,456,329,405,67,2
01/03/2026,2,0,90,348,358,164,226,0,2,23,9,11,16,na,31,204,20,10,253,307,318,252,33,112,43,0,23,0,41,278,32,undefined,na,na,177,271,10,undefined,4,26,3,11,4,265,470,0,208,0,79,12,35,83,73,23,110,0,183,137,na,67,0,72,279,0,0,204,62,20,16,4,9,37,0,5,3,24,0,182,252,2,0,2,37,114,35,45,1,85,45,1,13,4,0,1,0,0,0,0,164,0,27,49,143,28,18,9,18,266,2,339,231,270,64,1
01/03/2026,3,0,61,304,225,153,99,0,5,12,32,2,7,na,23,131,10,3,144,286,234,159,20,94,36,0,11,0,39,270,16,undefined,na,na,109,210,5,undefined,1,9,1,3,3,183,328,0,134,0,75,8,15,45,52,23,83,0,52,136,na,54,0,65,156,0,0,131,44,2,4,1,2,30,0,1,0,22,0,121,159,3,2,1,16,70,17,13,0,86,17,3,10,3,0,1,0,0,0,0,112,0,14,38,121,12,0,6,24,182,0,285,164,178,30,0
01/03/2026,4,0,26,165,122,55,104,0,3,18,21,2,4,na,17,60,11,3,73,105,93,121,31,65,29,0,10,0,24,151,8,undefined,na,na,66,89,5,undefined,1,12,3,3,4,88,183,0,51,0,51,22,22,14,10,7,68,0,65,60,na,24,0,51,55,0,0,60,11,5,2,1,2,9,0,5,0,19,0,122,121,1,2,1,10,72,9,9,0,40,17,4,13,1,0,0,0,0,2,0,51,0,5,19,98,7,2,1,6,158,0,214,76,112,10,0
01/03/2026,5,0,20,103,116,92,127,0,4,16,3,5,0,na,4,49,10,0,43,52,47,105,17,86,40,0,7,0,33,99,5,undefined,na,na,55,41,4,undefined,1,18,3,8,7,99,187,0,64,23,72,2,24,7,25,17,54,0,58,41,na,39,0,23,35,0,0,49,24,6,6,2,2,11,0,5,2,10,0,63,105,2,3,4,16,53,12,14,1,74,20,0,12,1,0,2,0,0,0,0,50,0,4,28,69,6,3,8,5,92,3,157,144,66,7,0
01/03/2026,6,0,22,91,118,117,153,0,17,23,7,16,5,na,27,49,24,4,16,32,35,112,45,118,108,0,19,0,46,57,5,undefined,na,na,139,22,5,undefined,4,17,6,9,8,93,239,2,81,28,36,8,20,11,26,18,41,0,93,30,na,27,0,46,18,0,0,49,35,8,8,8,0,22,0,15,7,42,0,82,112,6,8,9,38,48,28,11,2,41,78,4,14,6,3,4,0,0,2,0,125,0,42,37,59,35,6,6,9,75,4,132,77,102,28,0
01/03/2026,7,0,42,199,232,162,218,0,114,73,19,45,96,na,74,102,71,17,40,41,134,228,111,216,282,0,30,0,136,62,16,undefined,na,na,544,39,17,undefined,23,36,19,17,14,132,347,10,124,77,122,19,87,32,57,23,61,0,157,78,na,75,0,35,48,0,0,102,103,65,43,19,5,59,0,35,23,112,0,103,228,15,8,14,52,87,152,47,26,72,373,15,25,67,50,8,0,0,2,0,190,5,84,80,158,76,23,8,20,179,38,219,161,129,24,12
01/03/2026,8,0,98,191,356,288,391,0,256,134,38,105,228,na,177,195,118,37,45,56,128,343,184,439,686,0,110,0,301,72,65,undefined,na,na,899,60,33,undefined,46,60,59,68,46,177,527,23,219,227,198,56,53,78,132,29,154,0,272,138,na,144,0,90,129,0,0,195,181,173,107,55,5,92,0,44,43,236,0,154,343,96,35,55,108,223,38,84,32,89,606,34,41,225,112,119,0,0,0,0,533,70,218,113,320,127,27,34,47,321,57,172,307,264,69,12
01/03/2026,9,0,314,463,711,529,645,0,371,174,83,150,357,na,202,418,127,91,178,140,148,784,340,718,777,0,207,0,331,79,205,undefined,na,na,1348,116,79,undefined,116,98,67,81,57,348,912,42,644,395,392,182,128,146,358,62,528,0,477,304,na,296,0,194,271,0,0,418,382,320,295,180,11,214,0,56,118,257,0,329,784,117,62,101,149,221,82,155,67,209,746,43,26,187,188,223,0,0,0,0,534,159,138,267,519,225,44,48,78,741,84,350,618,565,194,35
