Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry,474 Flinders St,Hamer Hall - River Side,Cnr Bourke St and Harbour Esplanade,Flinders Walk - Sandridge Bridge,Birrarung Marr - Federation Bridge,Boyd Park,I-Hub 892 Bourke Street,510 Elizabeth St,512 Elizabeth St,514 Elizabeth St,516 Elizabeth St,Batman Park,City Baths,Birrarung Marr – COM Pole 1109,I-Hub Corner of King Street and Latrobe Street,I-Hub 489 Elizabeth Street,I-Hub 526 La Trobe Street,475 Spencer Street,484 Spencer Street,61-67 Power Street Southbank
01/05/2025,0,47,17,155,105,67,103,0,0,13,6,9,15,na,44,102,37,2,146,38,58,119,28,91,29,0,32,40,30,147,34,undefined,na,na,97,17,22,undefined,18,21,34,18,3,70,236,2,144,1,107,13,66,40,19,65,59,0,118,80,na,68,0,135,11,0,0,102,18,2,6,6,7,19,0,5,1,16,0,68,119,2,0,8,16,42,33,42,0,56,6,1,8,3,0,1,0,0,0,0,34,1,0,60,81,26,5,1,3
01/05/2025,1,36,10,72,58,29,42,0,1,4,1,2,15,na,17,68,3,0,73,31,56,61,7,40,17,0,14,19,26,114,4,undefined,na,na,39,17,15,undefined,6,10,21,11,10,42,92,0,56,0,114,15,42,23,11,31,19,0,65,43,na,56,0,84,3,0,0,68,12,1,0,2,8,11,0,1,1,10,4,33,61,2,1,3,14,11,29,23,0,12,1,0,0,0,0,1,0,0,2,0,37,0,0,39,33,9,2,0,1
01/05/2025,2,21,18,48,37,26,18,0,1,6,1,0,4,na,8,25,4,1,35,7,16,31,11,31,12,0,11,17,12,43,23,undefined,na,na,22,6,28,undefined,5,5,9,4,2,29,96,0,34,0,58,13,36,18,3,17,17,0,36,25,na,12,0,45,7,0,0,25,6,1,5,8,3,5,0,1,0,3,3,35,31,0,3,0,9,17,9,6,0,11,3,2,0,0,0,0,0,0,0,0,30,0,0,6,23,4,0,1,2
01/05/2025,3,13,11,30,25,37,14,0,0,1,1,0,4,na,9,37,7,0,24,6,30,23,13,25,4,0,3,23,5,41,15,undefined,na,na,11,8,0,undefined,1,2,4,2,1,24,63,0,29,0,63,0,28,10,5,14,5,0,19,28,na,14,0,37,1,0,0,37,7,0,0,23,0,6,0,0,0,6,0,24,23,0,3,2,1,20,6,5,0,17,2,0,0,0,0,0,0,0,1,0,12,0,0,10,21,5,1,1,5
01/05/2025,4,12,6,16,28,95,49,0,0,4,1,2,4,na,14,28,13,4,25,12,23,36,18,25,7,0,0,37,17,19,8,undefined,na,na,28,0,7,undefined,1,7,6,0,1,21,94,0,31,0,34,10,14,6,4,13,2,0,29,15,na,20,0,76,4,0,0,28,3,0,2,2,2,6,0,2,0,4,0,28,36,2,0,6,7,9,9,8,0,14,0,0,1,0,0,0,0,0,0,0,26,0,0,7,19,9,1,3,0
01/05/2025,5,13,16,31,78,99,177,0,6,49,15,7,24,na,78,37,64,16,8,6,15,84,37,175,35,0,8,65,54,26,16,undefined,na,na,111,11,13,undefined,9,14,10,36,11,38,198,0,79,0,36,10,27,13,21,10,13,0,88,18,na,24,0,18,4,0,0,37,21,3,1,3,2,22,0,7,5,31,5,64,84,10,3,7,19,69,25,22,0,50,3,0,1,2,0,1,0,0,0,0,39,0,0,17,31,18,5,1,7
01/05/2025,6,78,50,118,222,295,542,0,74,290,28,31,102,na,252,104,190,83,18,21,27,388,174,543,172,0,39,296,195,44,17,undefined,na,na,497,68,18,undefined,16,62,52,56,31,89,647,2,252,0,95,26,102,46,68,22,56,0,280,85,na,93,0,108,21,0,0,104,154,11,20,13,18,98,0,42,18,97,4,248,388,50,15,14,46,302,102,73,13,51,106,10,24,66,16,6,0,0,0,0,105,55,88,45,78,68,12,8,25
01/05/2025,7,203,129,216,451,672,1379,0,331,1418,144,78,203,na,432,404,536,388,42,70,96,879,572,1327,493,0,100,548,327,104,58,undefined,na,na,1328,168,27,undefined,76,173,91,92,54,274,1119,53,400,122,156,46,71,148,201,86,157,0,1025,276,na,365,0,85,161,0,0,404,332,199,142,73,15,269,0,116,58,228,54,473,879,107,30,80,134,894,277,193,99,108,485,73,149,296,110,31,0,0,0,0,177,75,327,104,228,172,54,33,74
01/05/2025,8,491,330,506,1001,1176,3444,0,515,4045,239,100,295,na,971,975,1544,1405,119,118,182,2042,1419,2673,1075,0,192,917,368,190,137,undefined,na,na,2695,422,91,undefined,155,524,432,364,191,601,2466,218,1028,258,345,110,151,516,669,338,357,0,2055,1415,na,1059,0,179,313,0,0,975,648,315,330,184,28,945,0,140,146,319,128,1118,2042,215,111,169,361,2857,796,610,99,311,574,119,695,416,271,61,0,0,0,0,453,89,483,235,653,392,100,80,101
01/05/2025,9,630,356,577,1097,979,1695,0,373,2484,194,101,243,na,497,914,1060,979,170,93,189,1456,861,1761,852,0,200,773,263,217,140,undefined,na,na,1517,286,72,undefined,177,469,586,405,157,571,2068,221,896,291,526,171,100,333,597,305,323,0,1416,1014,na,1032,0,178,379,0,0,914,758,487,377,165,50,620,0,89,111,224,112,831,1456,158,90,189,323,1599,462,370,61,274,326,88,216,191,134,93,0,0,0,2,315,80,256,240,603,332,76,80,98
