Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,Arts Centre Melbourne,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West),Flagstaff station (East),William St - Little Lonsdale St (West),La Trobe St - William St (South),114 Flinders St,Birrarung Marr East - Batman Ave Bridge Entry,474 Flinders St,Hamer Hall - River Side,Cnr Bourke St and Harbour Esplanade,Flinders Walk - Sandridge Bridge,Birrarung Marr - Federation Bridge,Boyd Park,I-Hub 892 Bourke Street,510 Elizabeth St,512 Elizabeth St,514 Elizabeth St,516 Elizabeth St,Batman Park,City Baths,Birrarung Marr – COM Pole 1109,I-Hub Corner of King Street and Latrobe Street,I-Hub 489 Elizabeth Street,I-Hub 526 La Trobe Street,475 Spencer Street,484 Spencer Street,61-67 Power Street Southbank,368 Elizabeth St,Macaulay Rd - Stubbs St Pumping Station,620 Bourke Street (7-Eleven),124 Elizabeth Street,197 Elizabeth St (7-Eleven),RMIT Building 22 - 330 Swanston Street,RMIT Building 51 - 80-92 Victoria Street
01/05/2026,0,0,53,306,328,105,162,0,2,28,8,18,12,na,20,156,38,3,141,122,117,139,54,156,47,0,11,0,52,291,36,undefined,na,na,132,37,36,undefined,2,22,22,34,22,155,387,2,191,0,134,14,39,22,57,60,67,0,152,186,na,72,0,137,133,0,0,156,62,11,3,19,17,39,0,9,3,51,0,179,139,3,1,12,49,95,37,27,0,74,43,2,21,3,0,0,0,0,0,0,126,4,26,66,104,26,6,12,14,389,3,253,112,188,49,3
01/05/2026,1,0,38,191,122,55,79,0,2,9,2,5,18,na,14,87,26,3,104,96,63,85,16,51,30,0,12,0,35,150,18,undefined,na,na,68,18,12,undefined,1,6,22,11,7,111,133,1,56,0,102,10,28,23,47,52,57,0,58,122,na,45,0,90,89,0,0,87,10,5,0,7,2,11,0,3,4,29,0,95,85,1,3,4,23,78,36,23,0,57,18,8,9,0,0,0,0,0,0,2,68,2,6,41,70,10,5,3,7,228,0,144,70,125,19,0
01/05/2026,2,0,37,105,79,23,57,0,0,8,1,1,5,na,8,95,6,1,47,80,63,59,8,18,10,0,8,0,25,142,26,undefined,na,na,37,4,12,undefined,0,12,12,9,4,35,72,2,59,0,87,4,17,6,9,29,19,0,43,77,na,26,0,36,67,0,0,95,15,0,6,1,5,9,0,0,0,8,0,41,59,0,0,0,8,23,15,13,0,20,6,0,2,0,0,1,0,0,0,0,38,0,0,17,65,3,0,3,9,110,0,98,39,54,9,0
01/05/2026,3,0,28,81,50,14,34,0,1,6,3,1,3,na,2,31,16,3,29,111,35,41,16,58,6,0,4,0,12,130,4,undefined,na,na,28,11,10,undefined,0,15,2,1,1,46,81,0,47,0,71,4,16,11,7,17,7,0,12,34,na,18,0,32,50,0,0,31,10,1,0,2,26,5,0,0,1,6,0,40,41,1,0,0,11,23,23,3,0,27,1,0,0,2,0,1,0,0,0,0,39,0,10,18,60,6,1,1,5,82,1,82,45,42,3,0
01/05/2026,4,0,18,61,44,17,48,0,0,5,3,5,2,na,9,12,21,0,19,19,9,56,17,25,11,0,4,0,8,80,5,undefined,na,na,9,21,2,undefined,0,3,9,6,4,35,92,0,16,0,60,5,17,3,6,10,8,0,19,35,na,11,0,15,21,0,0,12,11,1,1,4,4,7,0,1,1,6,0,30,56,5,1,1,8,26,6,1,0,35,0,1,2,0,0,0,0,0,0,0,34,0,9,11,36,10,0,2,2,67,1,37,38,50,3,0
01/05/2026,5,0,23,63,82,24,138,0,6,65,7,6,2,na,17,43,43,5,19,14,27,62,28,148,43,0,4,0,42,54,7,undefined,na,na,86,20,4,undefined,3,18,6,19,18,49,221,0,57,0,78,9,20,7,28,18,23,0,85,59,na,26,0,21,37,0,0,43,37,1,1,2,18,18,0,2,5,24,0,58,62,21,2,15,16,126,22,20,0,20,27,4,2,1,0,0,0,0,0,0,66,7,10,28,34,12,1,2,12,74,2,133,117,64,15,0
01/05/2026,6,0,44,97,165,54,421,0,73,288,33,22,46,na,71,88,127,43,21,19,50,279,170,529,170,0,34,0,248,56,11,undefined,na,na,445,56,5,undefined,14,69,25,33,33,142,449,11,127,57,85,18,70,25,116,22,48,0,224,94,na,48,0,51,81,0,0,88,116,22,21,11,16,83,0,31,21,92,0,133,279,29,15,29,43,243,71,150,76,50,116,30,19,23,19,96,0,0,0,0,148,32,65,50,108,77,15,9,28,216,41,176,193,133,60,16
01/05/2026,7,0,100,234,402,123,909,0,242,721,80,87,268,na,357,272,433,300,75,63,92,645,385,1138,461,0,75,0,553,85,54,undefined,na,na,1208,113,34,undefined,47,117,81,85,53,292,918,29,275,140,158,62,103,114,321,45,120,0,636,320,na,217,0,77,133,0,0,272,309,179,81,65,8,198,0,82,55,264,0,227,645,117,40,76,105,697,221,135,64,80,490,131,90,74,102,83,0,0,0,0,270,72,156,116,203,136,38,37,49,395,114,261,310,330,258,110
01/05/2026,8,0,309,543,972,281,1921,0,373,2104,154,106,363,na,637,615,1147,970,104,98,161,1339,753,2077,741,0,145,0,838,158,64,undefined,na,na,2208,321,57,undefined,193,455,280,299,140,588,1846,173,621,238,325,125,161,459,804,182,327,0,1315,1611,na,726,0,151,310,0,0,615,787,438,436,146,15,453,0,118,145,337,0,560,1339,204,90,149,235,2152,531,334,85,180,494,235,249,235,247,63,0,0,0,0,570,108,299,252,448,277,66,81,97,740,197,536,755,789,608,370
01/05/2026,9,0,471,680,1167,298,1146,0,335,1407,112,92,264,na,346,762,793,596,220,127,263,1264,602,1553,759,0,157,0,916,218,160,undefined,na,na,1494,269,58,undefined,181,352,281,325,152,549,1744,174,767,286,441,172,196,256,825,132,344,0,1049,1346,na,702,0,188,435,0,0,762,841,634,514,146,68,344,0,71,129,323,0,490,1264,156,97,111,288,1273,277,275,57,197,446,215,120,90,178,126,0,0,0,3,391,132,154,198,552,276,48,50,86,828,150,437,1073,844,620,250
